,1stFlrSF,2ndFlrSF,3SsnPorch,bedroomabvgr,bsmtfinsf1,bsmtfinsf2,bsmtfullbath,bsmthalfbath,bsmtunfsf,enclosedporch,fireplaces,fullbath,garagearea,garagecars,garageyrblt,grlivarea,halfbath,kitchenabvgr,lotarea,lotfrontage,lowqualfinsf,masvnrarea,miscval,mosold,mssubclass,openporchsf,overallcond,overallqual,poolarea,saleprice,screenporch,totalbsmtsf,totrmsabvgrd,wooddecksf,yearbuilt,yearremodadd,yrsold,alley,bldgtype,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,bsmtqual,centralair,condition1,condition2,electrical,extercond,exterior1st,exterior2nd,exterqual,fence,fireplacequ,foundation,functional,garagecond,garagefinish,garagequal,garagetype,heating,heatingqc,housestyle,kitchenqual,landcontour,landslope,lotconfig,lotshape,masvnrtype,miscfeature,mszoning,neighborhood,paveddrive,poolqc,roofmatl,roofstyle,salecondition,saletype,street,utilities
0,856,854,0,3,706,0,1,0,150,0,0,2,548,2,2003.0,1710,1,1,8450,65.0,0,196.0,0,2,60,61,5,7,0,208500,0,856,8,0,2003,2003,2008,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
1,1262,0,0,3,978,0,0,1,284,0,1,2,460,2,1976.0,1262,0,1,9600,80.0,0,0.0,0,5,20,0,8,6,0,181500,0,1262,6,298,1976,1976,2007,Grvl,1Fam,TA,Gd,ALQ,Unf,Gd,Y,Feedr,Norm,SBrkr,TA,MetalSd,MetalSd,TA,MnPrv,TA,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,FR2,Reg,None,Shed,RL,Veenker,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
2,920,866,0,3,486,0,1,0,434,0,1,2,608,2,2001.0,1786,1,1,11250,68.0,0,162.0,0,9,60,42,5,7,0,223500,0,920,6,0,2001,2002,2008,Grvl,1Fam,TA,Mn,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,TA,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,IR1,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
3,961,756,0,3,216,0,1,0,540,272,1,1,642,3,1998.0,1717,0,1,9550,60.0,0,0.0,0,2,70,35,5,7,0,140000,0,756,7,0,1915,1970,2006,Grvl,1Fam,Gd,No,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Shng,TA,MnPrv,Gd,BrkTil,Typ,TA,Unf,TA,Detchd,GasA,Gd,2Story,Gd,Lvl,Gtl,Corner,IR1,None,Shed,RL,Crawfor,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
4,1145,1053,0,4,655,0,1,0,490,0,1,2,836,3,2000.0,2198,1,1,14260,84.0,0,350.0,0,12,60,84,5,8,0,250000,0,1145,9,192,2000,2000,2008,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,TA,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,Gd,Lvl,Gtl,FR2,IR1,BrkFace,Shed,RL,NoRidge,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
5,796,566,320,1,732,0,1,0,64,0,0,1,480,2,1993.0,1362,1,1,14115,85.0,0,0.0,700,10,50,30,5,5,0,143000,0,796,5,40,1993,1995,2009,Grvl,1Fam,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,Wood,Typ,TA,Unf,TA,Attchd,GasA,Ex,1.5Fin,TA,Lvl,Gtl,Inside,IR1,None,Shed,RL,Mitchel,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
6,1694,0,0,3,1369,0,1,0,317,0,1,2,636,2,2004.0,1694,0,1,10084,75.0,0,186.0,0,8,20,57,5,8,0,307000,0,1686,7,255,2004,2005,2007,Grvl,1Fam,TA,Av,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,Somerst,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
7,1107,983,0,3,859,32,1,0,216,228,2,2,484,2,1973.0,2090,1,1,10382,70.04995836802665,0,240.0,350,11,60,204,6,7,0,200000,0,1107,7,235,1973,1973,2009,Grvl,1Fam,TA,Mn,ALQ,BLQ,Gd,Y,PosN,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,TA,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Ex,2Story,TA,Lvl,Gtl,Corner,IR1,Stone,Shed,RL,NWAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
8,1022,752,0,2,0,0,0,0,952,205,2,2,468,2,1931.0,1774,0,2,6120,51.0,0,0.0,0,4,50,0,5,7,0,129900,0,952,8,90,1931,1950,2008,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Artery,Norm,FuseF,TA,BrkFace,Wd Shng,TA,MnPrv,TA,BrkTil,Min1,TA,Unf,Fa,Detchd,GasA,Gd,1.5Fin,TA,Lvl,Gtl,Inside,Reg,None,Shed,RM,OldTown,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
9,1077,0,0,2,851,0,1,0,140,0,2,1,205,1,1939.0,1077,0,2,7420,50.0,0,0.0,0,1,190,4,6,5,0,118000,0,991,5,0,1939,1950,2008,Grvl,2fmCon,TA,No,GLQ,Unf,TA,Y,Artery,Artery,SBrkr,TA,MetalSd,MetalSd,TA,MnPrv,TA,BrkTil,Typ,TA,RFn,Gd,Attchd,GasA,Ex,1.5Unf,TA,Lvl,Gtl,Corner,Reg,None,Shed,RL,BrkSide,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
